MLSNUM,LISTPRICE,ZIP,BEDS,BATHS,SQFT
71922993,150000.0,02122,1,1.0,610
71923077,314900.0,02150,2,2.0,1259
71923165,555000.0,01985,2,3.0,2679
71923330,205000.0,01510,2,2.0,960
71923338,94900.0,01001,2,1.5,887
71923347,625000.0,01730,3,2.5,1806
71923373,299000.0,01845,2,2.0,1272
71923495,149900.0,33909,2,2.0,1190
71923518,149900.0,02190,1,1.0,790
71923534,149900.0,02532,2,2.0,1520
71923642,113900.0,01453,2,1.5,1138
71923649,149900.0,01854,2,1.5,921
71923709,295000.0,01027,3,2.5,1639
71923775,399000.0,01772,2,2.5,1810
71923823,110000.0,01746,1,1.0,686
71923850,239900.0,02346,2,1.5,1556
71923910,339000.0,02453,2,1.0,1100
